Category,Message
ham,ranjith cal drpd deeraj deepak 5min hold
ham,uworld site buying qbank buying self assessment also
spam,important customer service announcement premier
ham,sorry ill call later
ham,he apparently bffs carly quick
spam,join uk horniest dogging service u sex 2nite sign follow instruction txt entry 69888 nytec2a3lpmsg@150p
ham,remember
spam,xmas & new year eve ticket sale club day 10am till 8pm thurs fri & sat night week theyre selling fast
ham,im leaving house
ham,stupidits possible
ham,dizzamn aight ill ask suitemates get back
ham,sorry ill call later
ham,howz painhope u r fine
spam,unsubscribed service get ton sexy babe hunk straight phone go httpgotbabescouk subscription
ham,u make fb list
ham,8 latest g still scrounge ammo want give new ak try
ham,yeah whatever lol
ham,sir waiting call
ham,entered cabin pa said happy bday bos felt special askd 4 lunch lunch invited apartment went
ham,might accidant tookplace somewhere ghodbandar rd traffic move slovely plz slip &amp dont worry
ham,oh really make air whats talent
spam,urgent please call 09061743810 landline abta complimentary 4* tenerife holiday #5000 cash await collection sae t&cs box 326 cw25wx 150 ppm
ham,also tell said happy birthday
ham,hungry buy food good lei mum n yun dun wan juz buy little bit
ham,abeg make profit start using get sponsor next event
ham,hmm shall bring bottle wine keep u amused joking ill still bring bottle red white see tomorrow
ham,boy loved gal propsd bt didnt mind gv lv lttrs bt frnds threw thm boy decided 2 aproach gal dt time truck speeding towards gal wn 2 hit girld boy ran like hell n saved asked hw cn u run fast boy replied boost secret energy n instantly girl shouted energy n thy lived happily 2gthr drinking boost evrydy moral story- hv free msgsd) gud ni8
spam,mobile 11mths update free orange latest colour camera mobile & unlimited weekend call call mobile upd8 freefone 08000839402 2stoptxt
ham,ditto wont worry saying anything anymore like said last night whatever want ill peace
spam,**free message**thanks using auction subscription service 18 150pmsgrcvd 2 skip auction txt 2 unsubscribe txt stop customercare 08718726270
ham,good evening
ham,happened adventuring
spam,1000 winner guaranteed caller prize final attempt contact claim call 09071517866 150ppmpobox10183bhamb64xe
ham,thats alrite girl u know gail neva wrongtake care sweet dont worryc u l8tr hunlove yaxxx
ham,going dinnermsg
ham,frndship like needle clock though v r clock v r nt able 2 met evn v meetitz 4few second bt v alwys stay conected gud 9t-)
ham,finished work yet something
ham,tell dear happen talking like alian
ham,whats ur pin
ham,thats significant dont worry
ham,height confidence aeronautics professor wer calld &amp wer askd 2 sit aeroplane aftr sat wer told dat plane w made student dey hurried plane bt 1 didnt move saidif made studentsthis wont even start datz confidence
ham,time thinkin goin
ham,doinghow
ham,jus reached home go bathe first si using net tell u finish k
ham,best msg hard person u know one step foward make u fall love &amp one step back ruin ur friendship good night-)
ham,jus finish bathing
ham,tessypls favor pls convey birthday wish nimyapls dnt forget today birthday shijas
ham,house-maid murderer coz man murdered &lt#&gt th january public holiday govtinstituitions closedincluding post office
ham,call meet
ham,problem renewal ill right away dont know detail
ham,otherwise part time job na-tuition
ham,telling tell one treat hi hi hi
ham,u know watchin lido
